Longitude,Latitude,Accuracy,Altitude,Time,Easting,Northing
023.7791376,37.9759653,01.9000000,0225.0,2023-02-15T11:37:14.317000,480452.88,4202883.41
023.7791394,37.9759693,01.9000000,0225.0,2023-02-15T11:37:15.316000,480453.04,4202883.85
023.7791385,37.9759707,01.9000000,0225.0,2023-02-15T11:37:16.310000,480452.96,4202884.00
023.7791360,37.9759725,02.3000000,0225.0,2023-02-15T11:37:17.312000,480452.74,4202884.20
023.7791288,37.9759760,01.9000000,0226.0,2023-02-15T11:37:18.317000,480452.11,4202884.59
023.7791153,37.9759791,01.9000000,0226.0,2023-02-15T11:37:19.312000,480450.92,4202884.94
023.7791014,37.9759814,01.9000000,0226.0,2023-02-15T11:37:20.313000,480449.70,4202885.20
023.7790884,37.9759823,01.9800000,0226.0,2023-02-15T11:37:21.315000,480448.56,4202885.30
023.7790750,37.9759850,02.3000000,0225.0,2023-02-15T11:37:22.309000,480447.38,4202885.60
023.7790612,37.9759875,01.9000000,0225.0,2023-02-15T11:37:23.317000,480446.17,4202885.88
023.7790479,37.9759895,02.0800000,0225.0,2023-02-15T11:37:24.318000,480445.00,4202886.11
023.7790347,37.9759906,02.0800000,0225.0,2023-02-15T11:37:25.317000,480443.85,4202886.23
023.7790210,37.9759917,02.0800000,0225.0,2023-02-15T11:37:26.318000,480442.64,4202886.36
023.7790058,37.9759926,02.0800000,0225.0,2023-02-15T11:37:27.316000,480441.31,4202886.46
023.7789901,37.9759935,02.0800000,0225.0,2023-02-15T11:37:28.317000,480439.93,4202886.56
023.7789764,37.9759936,01.9830000,0225.0,2023-02-15T11:37:29.316000,480438.73,4202886.58
023.7789636,37.9759935,02.0800000,0224.0,2023-02-15T11:37:30.320000,480437.60,4202886.57
023.7789520,37.9759935,01.9830000,0225.0,2023-02-15T11:37:31.315000,480436.58,4202886.57
023.7789392,37.9759927,02.3830000,0225.0,2023-02-15T11:37:32.316000,480435.46,4202886.49
023.7789270,37.9759925,01.9830000,0224.0,2023-02-15T11:37:33.310000,480434.39,4202886.47
023.7789162,37.9759938,01.9830000,0224.0,2023-02-15T11:37:34.315000,480433.44,4202886.61
023.7789063,37.9759956,01.9830000,0224.0,2023-02-15T11:37:35.312000,480432.57,4202886.82
023.7788967,37.9759967,01.9800000,0224.0,2023-02-15T11:37:36.319000,480431.73,4202886.94
023.7788850,37.9759975,01.9000000,0224.0,2023-02-15T11:37:37.311000,480430.70,4202887.03
023.7788720,37.9759997,01.5000000,0224.0,2023-02-15T11:37:38.314000,480429.56,4202887.28
023.7788611,37.9760007,01.5000000,0224.0,2023-02-15T11:37:39.314000,480428.60,4202887.39
023.7788517,37.9760006,01.5000000,0224.0,2023-02-15T11:37:40.319000,480427.78,4202887.38
023.7788412,37.9759988,01.5000000,0224.0,2023-02-15T11:37:41.317000,480426.85,4202887.18
023.7788278,37.9759972,01.9800000,0223.0,2023-02-15T11:37:42.315000,480425.68,4202887.01
023.7788150,37.9759963,01.9800000,0223.0,2023-02-15T11:37:43.318000,480424.55,4202886.91
023.7788033,37.9759952,01.9800000,0224.0,2023-02-15T11:37:44.317000,480423.52,4202886.79
023.7787932,37.9759940,01.9000000,0224.0,2023-02-15T11:37:45.317000,480422.64,4202886.66
023.7787821,37.9759952,01.9000000,0223.0,2023-02-15T11:37:46.315000,480421.66,4202886.80
023.7787731,37.9759957,01.9800000,0223.0,2023-02-15T11:37:47.316000,480420.87,4202886.85
023.7787645,37.9759952,01.9800000,0223.0,2023-02-15T11:37:48.320000,480420.12,4202886.80
023.7787554,37.9759956,01.9000000,0223.0,2023-02-15T11:37:49.314000,480419.32,4202886.85
023.7787451,37.9759954,01.9000000,0224.0,2023-02-15T11:37:50.315000,480418.41,4202886.83
023.7787328,37.9759949,01.9800000,0223.0,2023-02-15T11:37:51.314000,480417.33,4202886.77
023.7787216,37.9759937,01.9800000,0223.0,2023-02-15T11:37:52.316000,480416.35,4202886.64
023.7787101,37.9759912,01.9000000,0224.0,2023-02-15T11:37:53.309000,480415.34,4202886.37
023.7786967,37.9759895,01.9800000,0224.0,2023-02-15T11:37:54.317000,480414.16,4202886.18
023.7786854,37.9759904,01.9000000,0225.0,2023-02-15T11:37:55.315000,480413.17,4202886.28
023.7786752,37.9759900,01.9000000,0225.0,2023-02-15T11:37:56.312000,480412.27,4202886.24
023.7786641,37.9759860,01.9800000,0225.0,2023-02-15T11:37:57.321000,480411.30,4202885.80
023.7786521,37.9759791,01.9800000,0225.0,2023-02-15T11:37:58.315000,480410.24,4202885.04
023.7786422,37.9759723,01.9000000,0225.0,2023-02-15T11:37:59.317000,480409.37,4202884.29
